id,city,latitude,longitude,neighbourhood,zipcode
6901257,NYC,40.69652363,-73.99161685,Brooklyn Heights,11201
6304928,NYC,40.76611542,-73.98903992,Hell's Kitchen,10019
7919400,NYC,40.80810999,-73.94375584,Harlem,10027
13418779,SF,37.77200448,-122.4316187,Lower Haight,94117
3808709,DC,38.92562692,-77.03459552,Columbia Heights,20009
12422935,SF,37.75316405,-122.4295261,Noe Valley,94131
11825529,LA,33.9804544,-118.4628207,null,90292
13971273,LA,34.04673741,-118.2604389,Downtown,90015
180792,SF,37.78112798,-122.5010952,Richmond District,94121
5385260,LA,33.99256298,-117.8959966,null,91748
5578513,NYC,40.72388327,-73.98388043,Alphabet City,10009
17423675,LA,33.87586236,-118.4032926,Hermosa Beach,90254
14066228,LA,33.81322842,-118.3894336,Torrance,90277
2658946,DC,38.91963001,-77.03118943,U Street Corridor,20009
583490,LA,33.77852647,-118.1459258,null,90804
6226658,Chicago,41.90824021,-87.69524167,Humboldt Park,60622
7499179,Chicago,41.91030829,-87.67526102,Wicker Park,60622
14648556,Boston,42.33919401,-71.04967213,South Boston,2127
17589436,NYC,40.7190863,-73.99028485,Lower East Side,10002
18224863,NYC,40.64377262,-73.95085466,Flatbush,11226
7264511,LA,34.16579488,-118.444462,Sherman Oaks,91401
16679342,NYC,40.65627776,-73.92264546,East Flatbush,11212
3563677,LA,34.04700251,-118.2673519,Downtown,90015
17615783,LA,34.17536014,-118.4309043,Valley Glen,91401
2479317,DC,38.91127529,-77.03727241,Dupont Circle,20009
14122244,NYC,40.69205728,-73.74546375,Jamaica,11411
19407360,LA,34.10068649,-118.3642036,null,00000
14490881,NYC,40.73014487,-73.85154204,Forest Hills,11374
851978,LA,34.05158405,-118.2429231,null,90028
4734170,NYC,40.75035451,-73.98082764,Murray Hill,10016
421056,NYC,40.66122089,-73.94866663,Lefferts Garden,11225
5520582,LA,34.06407656,-118.3459102,Mid-Wilshire,90036
8908966,LA,33.99750602,-118.4720329,Venice,90291
10994968,LA,34.08633778,-118.3647783,West Hollywood,90046
5559765,LA,34.08630857,-118.2712267,null,90026
15705862,NYC,40.65921861,-73.91351348,Brownsville,11212
16904896,SF,37.77372777,-122.4631288,Richmond District,94118
4209927,NYC,40.71518313,-73.94520044,Williamsburg,11211
12232154,NYC,40.73131103,-73.98609197,East Village,10003
4680055,Boston,42.33062833,-71.0531478,South Boston,2127
19813606,Chicago,41.86105699,-87.61930317,South Loop/Printers Row,60605
18191678,LA,34.10780278,-118.3200675,null,90068
12428036,LA,34.05542344,-118.2752044,Westlake,90057
4014942,LA,34.10259786,-118.3567757,Hollywood Hills,90046
11376382,LA,33.97570797,-118.4495962,null,90292
15238989,NYC,40.76893346,-73.95377173,Upper East Side,10021
18004987,DC,38.90193567,-77.05230862,null,20037
5117069,NYC,40.72716681,-73.99099987,East Village,10003
16246049,NYC,40.70631245,-73.9192194,Bushwick,11237
17708004,NYC,40.67988952,-73.90856545,Bedford-Stuyvesant,11233
13435559,Chicago,41.85104749,-87.67941891,Pilsen,60608
17621139,NYC,40.75215018,-74.00425526,Chelsea,10001
3530517,SF,37.73079827,-122.4486087,Sunnyside,94127
13412641,LA,34.15649092,-118.4565176,Sherman Oaks,91403
17078757,NYC,40.71729548,-73.96072628,Williamsburg,11249
6443678,NYC,40.81286201,-73.94120417,Harlem,10037
8926164,NYC,40.73411496,-73.99787332,Greenwich Village,10011
17556957,NYC,40.73961191,-73.9997621,Chelsea,10011
2503128,NYC,40.83535389,-73.9433389,Washington Heights,10032
9471893,LA,34.00181463,-118.4519074,Venice,90291
4274462,Boston,42.33600726,-71.05291817,South Boston,2127
1948096,LA,34.12973623,-118.145861,Pasadena,91106
11712092,SF,37.75052788,-122.4029728,Potrero Hill,94107
20918988,DC,38.93376169,-76.97799439,Brookland,20018
5806687,NYC,40.73942192,-73.99628925,Chelsea,10011
16474211,LA,34.11314833,-118.2836444,Los Feliz,90027
15187281,NYC,40.74942941,-73.99834523,Chelsea,10011
20269518,LA,34.163804,-118.3760293,null,91601
19247305,LA,34.10084366,-118.3133146,Hollywood,90028
11095719,LA,34.10478507,-118.3041888,Hollywood,90027
4285537,DC,38.91420438,-77.02530769,U Street Corridor,20001
14668858,NYC,40.75990076,-73.96262541,Midtown East,10022
7822736,LA,34.16778109,-118.2821212,Glendale,91201
15990686,NYC,40.65262788,-73.95560803,Flatbush,11226
19135811,LA,34.07979252,-118.3459506,Mid-Wilshire,90036
15956956,LA,34.04503508,-118.2512598,Downtown,90013
6924942,NYC,40.68086394,-73.97752826,Park Slope,11217
6972777,LA,34.14714094,-118.0211027,Arcadia,91016
14253838,NYC,40.71374668,-73.96311552,Williamsburg,11249
20738762,NYC,40.81910974,-73.95670408,Harlem,10031
16221430,NYC,40.73321323,-74.00242068,West Village,10014
13398011,NYC,40.7082729,-73.92263996,Bushwick,11237
18472310,NYC,40.7512043,-73.94019457,Astoria,11101
18524434,SF,37.74345962,-122.4235098,Noe Valley,94110
19225024,SF,37.7219829,-122.4075767,Portola,94134
18840866,LA,34.18104334,-118.3045588,Burbank,91501
2586472,NYC,40.78789198,-73.95056974,East Harlem,10029
20761244,LA,33.9802979,-118.3865229,null,90230
3976798,LA,34.10762628,-118.267016,Silver Lake,90039
17812291,NYC,40.69033069,-73.94216841,Bedford-Stuyvesant,11221
